ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Celtis micrantha (L.) Sw.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1847,1980,"MX, SR, CO, JM, BR, PR"
Cannabaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,,,1839,2022,"BR, AR, ID, CN, PG, IN, GB, US, ES, PE, JP, TW, ZA, VN, PF, DK, NL, MG, AO"
Trema eurhyncha (Miq.) Byng & Christenh.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema rugosa,1996,1996,PG
Humulus scandens (Lour.) Merr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus scandens,1862,2022,"VN, HU, UA, NO, CN, CL, NL, ZZ, GB, TW, DE, KP, AR, KR, CA, EE, BE, BR, IT, US, JP, TH, RU, ES"
Trema lamarckiana (Roem. & Schult.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema lamarckiana,1827,2016,"US, BM, HT, BR, GP, ZZ, JM, TC, CU, MS, BS, PR, AI, PA, DO, AF, DM, KY, BQ, MQ"
Trema politoria (Wall. ex Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema politoria,1821,2014,"NP, BT, IN, CN, VN, PK"
Celtis strychnoides Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1820,2020,AU
Momisia chichape Wedd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,1845,1845,BO
Celtis pubescens S.Y.Wang & C.L.Chang,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pubescens,1980,2015,"CO, AR, BR"
Celtis liukiuensis Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis boninensis,1917,1924,"JP, TW"
Lozanella permollis Killip & Morton,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Lozanella,Lozanella permollis,1900,2009,"PE, BO, EC, CO"
Aphananthe philippinensis Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe philippinensis,1770,2022,"ZZ, PH, SB, PG, AU"
Celtis pumila var. georgiana (Small) Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1914,1914,US
Trema levigata Hand.-Mazz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema levigata,1885,2010,"CN, NL"
Trema micrantha var. micrantha,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1923,2021,"PA, NI, SV, GT, HN, CR, CO, US, BZ, MX"
